obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
116,4/30/2021 2:30,10.785,95.8,1018.45,0.4,1.2,10.2
117,4/30/2021 3:00,10.81,95.8,1017.95,0.4,1.2,10.2
118,4/30/2021 3:30,10.785,95.8,1017.55,0.4,1.2,10.2
119,4/30/2021 4:00,10.785,96,1017.75,1.4,1.2,10.2
120,4/30/2021 4:30,10.81,96.3,1017.35,2,1.2,10.3
121,4/30/2021 5:00,10.834,96.4,1017.05,1,1.2,10.3
122,4/30/2021 5:30,10.907,96.5,1017.05,0.4,1.2,10.4
123,4/30/2021 6:00,10.956,96.6,1016.75,0.6,1.2,10.4
124,4/30/2021 6:30,11.029,96.7,1016.95,0.6,11.2,10.5
125,4/30/2021 7:00,11.151,96.9,1016.75,0.4,43.7,10.7
126,4/30/2021 7:30,11.273,97,1016.95,0,68.7,10.8
127,4/30/2021 8:00,11.297,97.1,1016.95,0,186.2,10.9
128,4/30/2021 8:30,11.175,97.2,1017.15,0,233.7,10.8
129,4/30/2021 9:00,11.151,97.4,1017.35,0.2,278.7,10.8
130,4/30/2021 9:30,10.883,97.5,1017.45,0.2,421.2,10.5
131,4/30/2021 10:00,10.932,97.6,1017.65,0,456.2,10.6
132,4/30/2021 10:30,10.687,97.6,1017.95,0,516.2,10.3
133,4/30/2021 11:00,10.492,97.6,1018.35,0,478.7,10.1
134,4/30/2021 11:30,10.149,97.5,1018.65,0,556.2,9.8
135,4/30/2021 12:00,9.682,97.2,1019.05,0,621.2,9.3
136,4/30/2021 12:30,9.41,97.2,1019.45,0,628.7,9
137,4/30/2021 13:00,10.394,96.4,1019.55,0,1006.2,9.9
138,4/30/2021 13:30,11.151,94.4,1019.65,0,1658.7,10.3
139,4/30/2021 14:00,10.541,93.5,1019.95,0,986.2,9.5
140,4/30/2021 14:30,11.419,90.9,1019.85,0,1263.7,10
141,4/30/2021 15:00,12.461,88.6,1019.95,0,1526.2,10.6
142,4/30/2021 15:30,12.485,86.3,1019.95,0,871.2,10.3
143,4/30/2021 16:00,12.968,83.4,1019.75,0,1423.7,10.2
144,4/30/2021 16:30,13.329,82.4,1019.95,0,1208.7,10.4
145,4/30/2021 17:00,12.703,82.4,1019.75,0,786.2,9.8
146,4/30/2021 17:30,12.05,84.4,1019.75,0,523.7,9.5
147,4/30/2021 18:00,11.734,85.6,1019.75,0,323.7,9.4
148,4/30/2021 18:30,10.883,87.6,1019.65,0,216.2,8.9
149,4/30/2021 19:00,10.785,88.8,1019.45,0,108.7,9
150,4/30/2021 19:30,10.883,88.7,1019.45,0,106.2,9.1
151,4/30/2021 20:00,10.222,89.9,1019.55,0,23.7,8.6
152,4/30/2021 20:30,9.952,90,1019.45,0,3.7,8.4
153,4/30/2021 21:00,10.051,90.5,1019.55,0,1.2,8.6
154,4/30/2021 21:30,10.198,91.2,1019.65,0,1.2,8.8
155,4/30/2021 22:00,10.296,92.1,1019.55,0,1.2,9.1
156,4/30/2021 22:30,10.345,92.7,1019.65,0,1.2,9.2
157,4/30/2021 23:00,10.271,93.3,1019.45,0,1.2,9.2
158,4/30/2021 23:30,10.222,93.8,1019.15,0,1.2,9.3
159,5/1/2021 0:00,10.198,94,1018.85,0,1.2,9.3
160,5/1/2021 0:30,10.1,94.2,1018.75,0,1.2,9.2
161,5/1/2021 1:00,10.1,94,1018.45,0,1.2,9.2
162,5/1/2021 1:30,10.051,94.4,1018.15,0,1.2,9.2
163,5/1/2021 2:00,10.1,94.7,1017.95,0,1.2,9.3
164,5/1/2021 2:30,10.1,95,1017.55,0,1.2,9.3
165,5/1/2021 3:00,10.075,95.1,1017.35,0,1.2,9.3
166,5/1/2021 3:30,9.657,94.9,1017.05,0,1.2,8.9
167,5/1/2021 4:00,9.485,95.9,1017.15,0,1.2,8.9
168,5/1/2021 4:30,9.188,95.4,1017.05,0,1.2,8.5
169,5/1/2021 5:00,9.163,95.2,1017.05,0,1.2,8.4
170,5/1/2021 5:30,8.99,95.2,1017.05,0,1.2,8.3
171,5/1/2021 6:00,8.965,95,1016.95,0,6.2,8.2
172,5/1/2021 6:30,9.064,94.9,1016.75,0,63.7,8.3
173,5/1/2021 7:00,8.916,94.2,1017.05,0,78.7,8
174,5/1/2021 7:30,9.312,94.3,1017.15,0,121.2,8.5
175,5/1/2021 8:00,9.706,93.9,1017.45,0,421.2,8.8
176,5/1/2021 8:30,9.46,92.5,1017.55,0,511.2,8.3
177,5/1/2021 9:00,10.198,92,1017.45,0,901.2,9
178,5/1/2021 9:30,10.492,90.3,1017.65,0,1051.2,9
179,5/1/2021 10:00,11.102,88.4,1017.55,0,1213.7,9.3
180,5/1/2021 10:30,11.37,86.9,1017.65,0,1401.2,9.3
181,5/1/2021 11:00,11.419,86.1,1018.15,0,1381.2,9.2
182,5/1/2021 11:30,11.443,82.3,1018.25,0,1548.7,8.5
183,5/1/2021 12:00,11.832,80,1018.55,0,1228.7,8.5
184,5/1/2021 12:30,12.05,80.5,1018.75,0,1028.7,8.8
185,5/1/2021 13:00,12.122,80.9,1018.85,0,1418.7,9
186,5/1/2021 13:30,12.316,79.2,1019.05,0,1746.2,8.8
187,5/1/2021 14:00,12.437,79.2,1019.25,0,1683.7,8.9
188,5/1/2021 14:30,12.437,75.3,1019.55,0,1633.7,8.2
189,5/1/2021 15:00,13.233,75,1019.85,0,1493.7,8.9
190,5/1/2021 15:30,12.847,73.7,1019.85,0,1473.7,8.3
191,5/1/2021 16:00,13.497,72.9,1019.75,0,1366.2,8.7
192,5/1/2021 16:30,13.882,73.7,1019.75,0,1238.7,9.3
193,5/1/2021 17:00,13.906,74.1,1019.55,0,1088.7,9.4
194,5/1/2021 17:30,13.834,72.5,1019.55,0,931.2,9
195,5/1/2021 18:00,13.81,73.2,1019.55,0,766.2,9.1
196,5/1/2021 18:30,13.57,70.4,1019.75,0,596.2,8.3
197,5/1/2021 19:00,11.2,72.7,1019.65,0,433.7,6.5
198,5/1/2021 19:30,10.663,76.2,1019.85,0,166.2,6.7
199,5/1/2021 20:00,10.883,77,1019.75,0,96.2,7
